DATEMONTHINT,STATION,PERIOD,RIDERS_PER_WEEKDAY,
201010,Gallery Place-Chinatown,PM Peak,12308.2,
201010,Georgia Avenue-Petworth,AM Peak,2191.2,
201010,Georgia Avenue-Petworth,Evening,666,
201010,Georgia Avenue-Petworth,Late Night Peak,37.2,
201010,Georgia Avenue-Petworth,Midday,1302.3,
201010,Georgia Avenue-Petworth,PM Peak,1326.4,
201010,Glenmont,AM Peak,4143.7,
201010,Glenmont,Evening,228.4,
201010,Glenmont,Late Night Peak,6,
201010,Glenmont,Midday,907.1,
201010,Glenmont,PM Peak,540.6,
201010,Greenbelt,AM Peak,4404.6,
201010,Greenbelt,Evening,434.7,
201010,Greenbelt,Late Night Peak,11.6,
201010,Greenbelt,Midday,1311.1,
201010,Greenbelt,PM Peak,952.9,
201010,Grosvenor,AM Peak,3795,
201010,Grosvenor,Evening,306.3,
201010,Grosvenor,Late Night Peak,9.7,
201010,Grosvenor,Midday,906,
201010,Grosvenor,PM Peak,760.4,
201010,Huntington,AM Peak,6497.2,
201010,Huntington,Evening,305.2,
201010,Huntington,Late Night Peak,8.1,
201010,Huntington,Midday,1400.9,
201010,Huntington,PM Peak,805.4,
201010,Judiciary Square,AM Peak,508.3,
201010,Judiciary Square,Evening,893.7,
201010,Judiciary Square,Late Night Peak,33.3,
201010,Judiciary Square,Midday,2311,
201010,Judiciary Square,PM Peak,6220.9,
201010,King Street,AM Peak,3062.8,
201010,King Street,Evening,1117,
201010,King Street,Late Night Peak,44,
201010,King Street,Midday,1937.1,
